antenna,timebucket,rainfall,signal_drop
TP10,2026-07-21 17:00:00,0.000000,0.207222
TP10,2026-07-21 17:15:00,0.000000,0.288235
TP10,2026-07-21 17:30:00,0.000000,0.348421
TP10,2026-07-21 17:45:00,0.000000,0.458889
TP10,2026-07-21 18:00:00,0.000000,0.383529
TP10,2026-07-21 18:15:00,0.000000,0.431053
TP10,2026-07-21 18:30:00,0.000000,0.433333
TP10,2026-07-21 18:45:00,0.000000,0.332353
TP10,2026-07-21 19:00:00,0.000000,0.247222
TP10,2026-07-21 19:15:00,0.000000,0.152778
TP10,2026-07-21 19:30:00,0.000000,0.045714
TP10,2026-07-21 19:45:00,0.000000,-0.056875
TP10,2026-07-21 20:00:00,0.000000,-0.181176
TP10,2026-07-21 20:15:00,0.000000,-0.328235
TP10,2026-07-21 20:30:00,0.000000,-0.400000
TP10,2026-07-21 20:45:00,0.000000,-0.510500
TP10,2026-07-21 21:00:00,0.000000,-0.481875
TP10,2026-07-21 21:15:00,0.000000,-0.529375
TP10,2026-07-21 21:30:00,0.000000,-0.559444
TP10,2026-07-21 21:45:00,0.000000,-0.577222
TP10,2026-07-21 22:00:00,0.000000,-0.582222
TP10,2026-07-21 22:15:00,0.000000,-0.533158
TP10,2026-07-21 22:30:00,0.000000,-0.446875
TP10,2026-07-21 22:45:00,0.000000,-0.323529
TP10,2026-07-21 23:00:00,0.000000,-0.194000
TP10,2026-07-21 23:15:00,0.000000,-0.053333
TP10,2026-07-21 23:30:00,0.000000,0.122500
TP10,2026-07-21 23:45:00,0.000000,0.262500
TP10,2026-07-22 00:00:00,0.000000,0.390556
TP10,2026-07-22 00:15:00,0.000000,0.515556
TP10,2026-07-22 00:30:00,0.000000,0.603158
TP10,2026-07-22 00:45:00,0.000000,0.648333
TP10,2026-07-22 01:00:00,0.000000,0.785625
TP10,2026-07-22 01:15:00,0.000000,0.940000
TP10,2026-07-22 01:30:00,0.000000,1.092353
TP10,2026-07-22 01:45:00,0.000000,1.099474
TP10,2026-07-22 02:00:00,0.000000,1.366471
TP10,2026-07-22 02:15:00,0.000000,1.424375
