location,threshold_x,samples_used,avg_location_rainfall_when_tai_po_market_above_x
Broadcast Drive,-1.0,209,1.110048
Cheung Chau,-1.0,209,0.980861
Cheung Ching,-1.0,209,0.995215
Clear Water Bay,-1.0,201,0.870647
Happy Valley,-1.0,209,1.081340
Hong Kong International Airport,-1.0,209,0.650718
Hong Kong Observatory,-1.0,208,0.932692
Kai Tak,-1.0,209,0.770335
Kau Sai Chau,-1.0,209,0.923445
King's Park,-1.0,209,0.990431
Kwun Tong,-1.0,209,1.071770
Lau Fau Shan,-1.0,209,0.521531
Magazine Gap,-1.0,209,1.200957
Ngong Ping,-1.0,209,1.062201
Pak Tam Chung,-1.0,209,1.047847
Peng Chau,-1.0,209,0.899522
Sai Kung,-1.0,209,1.172249
San Po Kong,-1.0,209,0.923445
Sha Tin,-1.0,209,1.210526
Sham Shui Po,-1.0,209,1.019139
Shau Kei Wan,-1.0,209,0.937799
Shek Kong,-1.0,0,NA
Sheung Shui,-1.0,209,1.129187
Shui Pin Wai,-1.0,209,0.555024
Stanley,-1.0,206,0.878641
Ta Kwu Ling,-1.0,209,1.095694
Tai Lung,-1.0,209,1.287081
Tai Mei Tuk,-1.0,209,1.569378
The Peak,-1.0,205,0.946341
Tseung Kwan O,-1.0,209,1.105263
Tsuen Wan Ho Koon,-1.0,189,0.793651
Tuen Mun,-1.0,209,0.870813
Waglan Island,-1.0,209,0.545455
Wetland Park,-1.0,209,0.641148
Wong Chuk Hang,-1.0,209,1.009569
