obsTime,Tai Po Market,Broadcast Drive,Cheung Chau,Cheung Ching,Clear Water Bay,Happy Valley,Hong Kong International Airport,Hong Kong Observatory,Kai Tak,Kau Sai Chau,Kingâs Park,Kwun Tong,Lau Fau Shan,Magazine Gap,Ngong Ping,Pak Tam Chung,Peng Chau,Sai Kung,San Po Kong,Sha Tin,Sham Shui Po,Shau Kei Wan,Shek Kong,Sheung Shui,Shui Pin Wai,Stanley,Ta Kwu Ling,Tai Lung,Tai Mei Tuk,The Peak,Tseung Kwan O,Tsuen Wan Ho Koon,Tuen Mun,Waglan Island,Wetland Park,Wong Chuk Hang
2026-07-21 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-21 17:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-21 18:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-21 19:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-21 20:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-21 21:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-21 22:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-21 23:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-22 00:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-22 01:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-22 02:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-07-22 03:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0
